country,muslim_population_millions,giei_score_2024_25,giei_score_2025_26,giei_rank,share_of_islamic_finance_assets_pct,islamic_banking_share_of_domestic_banking_pct,halal_imports_2024_usd_bn,oic_member,note
"Malaysia",21,165.1,186.1,1,12,20.1,30.6,yes,"Top-ranked in halal food, Islamic finance and pharma/cosmetics for the twelfth year. Halal imports grew 12.4% to $30.6B in 2024."
"Saudi Arabia",34,100.9,,2,27,74.9,,yes,"Largest holder of Islamic finance assets alongside Iran; Islamic banks are roughly three-quarters of domestic banking. Largest OIC halal importer."
"Indonesia",236,99.9,,3,2,5.5,,yes,"World's largest Muslim population and largest halal food market. #1 in modest fashion. Top destination for Islamic-economy investment (~$1.6B across 40 deals)."
"United Arab Emirates",7,95.8,,4,10,22.7,,yes,"Moved to #2 in the 2025/26 ranking; top three in every sector and #1 in media & recreation. ~$1.5B in deals across 50 transactions."
"Bahrain",1.2,81.9,,5,3.5,16.1,,yes,"Long-standing Islamic finance hub and a leading sukuk issuer."
"Jordan",10,71.4,,6,,17.8,,yes,"Islamic banks hold about 18% of domestic banking assets."
"Kuwait",3.5,67,,7,5.5,51,,yes,"Islamic banks hold about half of the domestic banking market."
"Pakistan",231,64.1,,8,2,,,yes,"Entered the GIEI top ten for the first time in 2024/25."
"Türkiye",81,64,,9,3.5,,,yes,"Among the five largest OIC halal importers and a major exporter into OIC markets; #2 in modest fashion (2024/25)."
"Qatar",2,60.4,,10,5.5,28.6,,yes,"Islamic banks hold about 29% of domestic banking assets."
"United Kingdom",4,,,14,,,,no,"Ranked 14th, up one place. The leading Western hub for Islamic finance and sukuk listings."
"Singapore",0.9,,,15,,,,no,"Inside the GIEI top 15; MUIS certification is widely recognised across Southeast Asia."
"Iran",83,,,,27,100,,yes,"Fully Sharia-compliant banking system; roughly a quarter of global Islamic finance assets. Largest modest-fashion market by spend."
"India",200,,,,,,,no,"Third-largest Muslim population; a leading supplier of halal meat into OIC markets."
"Bangladesh",151,,,,,8.2,,yes,"Second-largest national halal food market by spend after Indonesia."
"Nigeria",99,,,,,,,yes,"Eighth-largest domestic halal market. Africa is the fastest-growing halal region at ~9.6% a year."
"Egypt",90,,,,,13.7,,yes,"Third-largest national halal food market by spend."
"Algeria",43,,,,,,,yes,""
"Sudan",42,,,,,100,,yes,"Banking system is entirely Islamic."
"Iraq",40,,,,,,,yes,""
"Afghanistan",38,,,,,,,yes,""
"Ethiopia",38,,,,,,,no,""
"Morocco",37,,,,,,,yes,"Topped halal-food deal value in 2023/24 with a $610M sugar acquisition."
"Uzbekistan",30,,,,,,,yes,""
"Yemen",30,,,,,,,yes,""
"China",25,,,,,,,no,""
"Niger",24,,,,,,,yes,""
"Tanzania",22,,,,,,,no,""
"Russia",20,,,,,,,no,"A top-five supplier of halal-related goods into OIC markets."
"Mali",20,,,,,,,yes,""
"Syria",19,,,,,,,yes,""
"Senegal",17,,,25,,,,yes,"Rose 18 places to 25th in the 2024/25 ranking."
"Oman",4,,,,,16.6,,yes,""
"Brunei",0.4,,,,,29.6,,yes,"Islamic banking is ~30% of the domestic banking system."
"France",6,,,,,,,no,""
"Germany",5,,,,,,,no,""
"United States",4,,,,,,,no,"A top-five supplier of halal-related goods into OIC markets."
"Brazil",0.2,,,,,,,no,"The largest exporter of halal meat to OIC countries, despite a tiny Muslim population."
"Australia",0.8,,,,,,,no,"Major halal meat exporter to the Gulf and Southeast Asia."
