figure_id,value,confirmed,checked_against
consumerSpend.2018.v,2.2,no,
consumerSpend.2022.v,2.29,no,
consumerSpend.2023.v,2.43,no,
consumerSpend.2024.v,2.6,yes,sgie2526
consumerSpend.2029.v,3.56,yes,sgie2526
countryFinance.Bahrain.bank,16.1,yes,gfmag
countryFinance.Bahrain.fin,3.5,yes,gfmag
countryFinance.Bangladesh.bank,8.2,no,
countryFinance.Brunei.bank,29.6,no,
countryFinance.Egypt.bank,13.7,no,
countryFinance.Indonesia.bank,5.5,no,
countryFinance.Indonesia.fin,2,yes,gfmag
countryFinance.Iran.bank,100,no,
countryFinance.Iran.fin,27,no,
countryFinance.Jordan.bank,17.8,yes,gfmag
countryFinance.Kuwait.bank,51,yes,gfmag
countryFinance.Kuwait.fin,5.5,yes,gfmag
countryFinance.Malaysia.bank,20.1,no,
countryFinance.Malaysia.fin,12,yes,gfmag
countryFinance.Oman.bank,16.6,yes,gfmag
countryFinance.Pakistan.fin,2,yes,gfmag
countryFinance.Qatar.bank,28.6,yes,gfmag
countryFinance.Qatar.fin,5.5,yes,gfmag
countryFinance.Saudi-Arabia.bank,74.9,yes,gfmag
countryFinance.Saudi-Arabia.fin,27,no,
countryFinance.Sudan.bank,100,yes,gfmag
countryFinance.Türkiye.fin,3.5,yes,gfmag
countryFinance.United-Arab-Emirates.bank,22.7,yes,gfmag
countryFinance.United-Arab-Emirates.fin,10,yes,gfmag
countryGiei.Bahrain.giei,81.9,no,
countryGiei.Bahrain.rank,5,no,
countryGiei.Indonesia.giei,99.9,no,
countryGiei.Indonesia.rank,3,no,
countryGiei.Jordan.giei,71.4,no,
countryGiei.Jordan.rank,6,no,
countryGiei.Kuwait.giei,67,no,
countryGiei.Kuwait.rank,7,no,
countryGiei.Malaysia.giei,165.1,no,
countryGiei.Malaysia.giei2526,186.1,yes,sgiePress
countryGiei.Malaysia.rank,1,yes,sgiePress
countryGiei.Pakistan.giei,64.1,no,
countryGiei.Pakistan.rank,8,no,
countryGiei.Qatar.giei,60.4,no,
countryGiei.Qatar.rank,10,no,
countryGiei.Saudi-Arabia.giei,100.9,no,
countryGiei.Saudi-Arabia.rank,2,no,
countryGiei.Senegal.rank,25,no,
countryGiei.Singapore.rank,15,no,
countryGiei.Türkiye.giei,64,no,
countryGiei.Türkiye.rank,9,no,
countryGiei.United-Arab-Emirates.giei,95.8,no,
countryGiei.United-Arab-Emirates.rank,4,no,
countryGiei.United-Kingdom.rank,14,no,
countryPop.Afghanistan.pop,38,no,
countryPop.Algeria.pop,43,no,
